"Name","Slug","Nation","Class","Tier","Type","Hitpoints","Effective HP","Armor","Torpedo Protection","Main Battery","Range","Reload Time","Turret Turn Time","Gun Traverse","Sigma","HE Damage","HE Alpha Strike","HE DPM","Fires/Min","AP Damage","Overmatch","AP Alpha Strike","AP DPM","Secondary Range","Sec Battery","AA Max DPS","AA Max Range","Max Speed","Turning Circle","Rudder Shift","Surface Detect","Air Detect","Smoke Penalty","Torp Layout","Torp Range","Torp Damage","Torp Speed","Torp Reload","Torp Detect","Consumables","Mod Slot 1","Mod Slot 2","Mod Slot 3","Mod Slot 4"
"Kotovsky","kotovsky","U.S.S.R.","Cruiser","I","Tech Tree","25,700","25,700","6-150 mm","10%","152 mm 4x2","14.10 km","9.0 s","22.5 s","8.0°/s","2.00","2,150","17,200","114,667","3.25","3,150","10 mm","25,200","168,000","4.00 km","100 mm 6x1","43","3.50 km","35.5 kt","850 m","7.4 s","11.90 km","7.20 km","5.70 km","","","","","","","","","","",""
"Krasny Krym","krasny-krym","U.S.S.R.","Cruiser","I","Premium","25,100","25,100","6-125 mm","0%","130 mm 15x1","14.30 km","8.1 s","22.5 s","8.0°/s","2.00","1,900","28,500","211,111","5.29","2,500","9 mm","37,500","277,778","4.00 km","100 mm 3x2","89","4.00 km","29.0 kt","590 m","7.2 s","11.80 km","7.40 km","5.60 km","","","","","","","","","","",""
"Kremlin","kremlin","U.S.S.R.","Battleship","★","Premium","102,500","131,200","19-550mm","28%","457 mm 3x3","17.40 km","33.0 s","30.0 s","6.0°/s","1.80","6,500","58,500","106,470","1.81","14,500","31 mm","130,500","237,510","5.00 km","130 mm 8x2","647","5.70 km","29.5 kt","1090 m","16.3 s","16.10 km","17.40 km","15.90 km","","","","","","","","","","",""
"Kronshtadt","kronshtadt","U.S.S.R.","Cruiser","VIII","Premium","71,050","90,944","15-330 mm","25%","305 mm 3x3","16.00 km","18.5 s","35.3 s","5.1°/s","","4,200","37,800","122,595","2.97","9,000","21 mm","81,000","262,703","5.00 km","","175","5.00 km","33.5 kt","840 m","14.9 s","14.70 km","8.80 km","11.40 km","","","","","","","","","","",""
"Kuma","kuma","Japan","Cruiser","III","Tech Tree","24,200","24,200","6-65 mm","0%","140 mm 7x1","11.40 km","6.0 s","21.2 s","8.5°/s","2.00","2,400","16,800","168,000","5.22","2,700","9 mm","18,900","189,000","","","35","3.10 km","34.5 kt","640 m","5.4 s","9.90 km","5.90 km","4.20 km","","","","","","","","","","",""
"Kutuzov","kutuzov","U.S.S.R.","Cruiser","VII","Premium","40,700","40,700","16-175 mm","0%","152 mm 4x3","16.00 km","8.0 s","25.0 s","7.2°/s","2.00","2,200","26,400","198,000","5.88","3,300","10 mm","39,600","297,000","5.00 km","100 mm 6x2","264","5.00 km","33.0 kt","760 m","6.5 s","13.80 km","8.70 km","7.70 km","","","","","","","","","","",""
"Kutuzov W","kutuzov-w","U.S.S.R.","Cruiser","VII","Premium","40,700","40,700","16-175 mm","0%","152 mm 4x3","16.00 km","8.0 s","25.0 s","7.2°/s","2.00","2,200","26,400","198,000","5.88","3,300","10 mm","39,600","297,000","5.00 km","100 mm 6x2","264","5.00 km","33.0 kt","760 m","6.5 s","13.80 km","8.70 km","7.70 km","","","","","","","","","","",""
"L&#x27;Adroit","l-adroit","France","Destroyer","I","Tech Tree","12,300","12,300","3-10mm","0%","130 mm 4x1","10.00 km","7.0 s","13.8 s","13.0°/s","2.00","1,900","7,600","65,143","2.69","2,300","9 mm","9,200","78,857","","","14","3.00 km","33.0 kt","560 m","3.0 s","5.70 km","2.80 km","2.20 km","","","","","","","","","","",""
"L&#x27;Aventurier","l-aventurier","France","Destroyer","VII","Tech Tree","16,700","16,700","10-20mm","0%","130 mm 3x2","11.00 km","6.5 s","18.0 s","10.0°/s","2.00","1,950","11,700","108,000","3.99","2,400","9 mm","14,400","132,923","","","142","3.50 km","35.0 kt","620 m","3.9 s","6.70 km","3.30 km","2.50 km","","","","","","","","","","",""
"La Foudre","la-foudre","France","Battleship","VII","Premium","69,000","97,980","18-430 mm","32%","380 mm 2x4","16.50 km","27.0 s","36.0 s","5.0°/s","1.80","5,400","43,200","96,000","2.16","11,900","26 mm","95,200","211,556","6.70 km","100 mm 12x2","560","5.00 km","30.0 kt","850 m","12.6 s","15.40 km","12.30 km","14.10 km","","","","","","","","","","",""
"La Galissoniere","la-galissoniere","France","Cruiser","V","Tech Tree","27,300","27,300","6-105 mm","10%","152 mm 3x3","14.90 km","9.0 s","15.0 s","12.0°/s","2.00","2,200","19,800","132,000","4.56","3,300","10 mm","29,700","198,000","4.50 km","90 mm 4x2","121","4.00 km","31.0 kt","650 m","7.7 s","12.40 km","7.40 km","6.00 km","","","","","","","","","","",""
"La Perla Azul","la-perla-azul","Europe","Cruiser","VII","Premium","34,500","44,160","16-140 mm","13%","203 mm 2x2","15.30 km","11.0 s","18.0 s","10.0°/s","2.00","2,850","19,950","108,818","3.97","4,500","14 mm","31,500","171,818","5.00 km","105 mm 4x2","100","4.50 km","33.5 kt","710 m","9.2 s","12.10 km","7.30 km","6.80 km","","","","","","","","","","",""
"Laffey","laffey","U.S.A.","Destroyer","VIII","Premium","18,500","29,600","13-20mm","0%","127 mm 3x2","11.20 km","3.5 s","7.2 s","25.0°/s","2.00","1,800","10,800","185,143","4.54","2,100","8 mm","12,600","216,000","","","215","5.00 km","36.5 kt","620 m","3.1 s","7.10 km","3.60 km","2.60 km","","","","","","","","","","",""
"Lambros Katsonis","lambros-katsonis","Europe","Destroyer","VIII","Tech Tree","20,300","20,300","6-20mm","0%","140 mm 6x1","11.00 km","3.8 s","12.9 s","14.0°/s","2.00","2,000","12,000","189,474","7.40","","","","","","","81","4.00 km","42.0 kt","720 m","4.5 s","7.10 km","3.50 km","2.90 km","","","","","","","","","","",""
"Langley","langley","U.S.A.","Aircraft Carrier","III","Tech Tree","33,700","33,700","6-20 mm","0%","","","","","","","","","","","","","","","3.50 km","127 mm 4x1","69","3.50 km","15.0 kt","730 m","9.2 s","10.70 km","7.50 km","2.00 km","","","","","","","","","","",""
"Lazo","lazo","U.S.S.R.","Cruiser","VI","Premium","36,300","36,300","6-175mm","0%","152 mm 4x3","15.30 km","9.0 s","25.0 s","7.2°/s","2.00","2,200","26,400","176,000","5.23","3,300","10 mm","39,600","264,000","4.50 km","100 mm 4x2","109","5.00 km","33.5 kt","890 m","9.7 s","13.80 km","8.30 km","7.10 km","","","","","","","","","","",""
"Le Fantasque","le-fantasque","France","Destroyer","VII","Tech Tree","18,500","18,500","6-20 mm","0%","139 mm 5x1","11.00 km","6.0 s","18.0 s","10.0°/s","2.00","2,200","11,000","110,000","4.10","2,950","9 mm","14,750","147,500","","","68","3.50 km","42.7 kt","690 m","4.3 s","6.90 km","3.50 km","2.80 km","","","","","","","","","","",""
"Le Glorieux","le-glorieux","France","Destroyer","V","Premium","15,700","20,096","10-16 mm","0%","150 mm 4x1","10.50 km","6.5 s","22.5 s","8.0°/s","2.00","1,800","7,200","66,462","4.41","3,700","10 mm","14,800","136,615","","","29","3.50 km","36.0 kt","690 m","4.0 s","6.60 km","3.30 km","2.50 km","","","","","","","","","","",""
"Le Hardi","le-hardi","France","Destroyer","VI","Tech Tree","15,600","15,600","10-16mm","0%","130 mm 3x2","10.80 km","7.0 s","18.0 s","10.0°/s","2.00","1,950","11,700","100,286","3.70","2,400","9 mm","14,400","123,429","","","64","3.00 km","37.0 kt","610 m","3.6 s","6.70 km","3.40 km","2.50 km","","","","","","","","","","",""
"Le Terrible","le-terrible","France","Destroyer","VI","Premium","18,600","18,600","6-16 mm","0%","139 mm 5x1","10.80 km","5.0 s","18.0 s","10.0°/s","2.00","2,000","10,000","120,000","4.91","2,700","9 mm","13,500","162,000","","","19","3.00 km","43.0 kt","690 m","4.3 s","6.70 km","3.50 km","2.80 km","","","","","","","","","","",""
"Le Terrible B","le-terrible-b","France","Destroyer","VI","Premium","18,600","18,600","6-16 mm","0%","139 mm 5x1","10.80 km","5.0 s","18.0 s","10.0°/s","2.00","2,000","10,000","120,000","4.91","2,700","9 mm","13,500","162,000","","","19","3.00 km","43.0 kt","690 m","4.3 s","6.70 km","3.50 km","2.80 km","","","","","","","","","","",""
"Leander","leander","U.K.","Cruiser","V","Tech Tree","28,700","36,736","6-100 mm","0%","152 mm 4x2","14.20 km","7.5 s","25.7 s","7.0°/s","2.00","","","","","3,100","10 mm","24,800","198,400","5.00 km","102 mm 4x2","112","5.00 km","32.5 kt","640 m","7.8 s","10.90 km","6.50 km","5.00 km","","","","","","","","","","",""
"Leipzig","leipzig","Germany","Cruiser","VI","Premium","30,800","30,800","10-100mm","4%","150 mm 3x3","14.90 km","6.0 s","22.5 s","8.0°/s","2.00","1,750","15,750","157,500","5.28","4,000","10 mm","36,000","360,000","4.50 km","88 mm 3x2","44","4.00 km","33.0 kt","700 m","7.3 s","11.50 km","6.90 km","5.40 km","","","","","","","","","","",""
"Lenin","lenin","U.S.S.R.","Battleship","VII","Premium","63,200","80,896","19-425 mm","22%","406 mm 3x3","17.00 km","33.0 s","30.0 s","6.0°/s","1.70","5,850","52,650","95,727","1.80","13,100","28 mm","117,900","214,364","5.00 km","100 mm 6x2","279","5.00 km","28.5 kt","840 m","13.5 s","15.40 km","12.30 km","14.80 km","","","","","","","","","","",""
"Leningrad","leningrad","U.S.S.R.","Destroyer","VI","Premium","15,200","15,200","10-16 mm","0%","130 mm 5x1","10.70 km","5.0 s","27.7 s","6.5°/s","2.00","1,900","9,500","114,000","4.09","2,500","9 mm","12,500","150,000","","","44","3.50 km","43.0 kt","690 m","3.7 s","7.10 km","3.70 km","2.80 km","","","","","","","","","","",""
"Leone","leone","Italy","Destroyer","V","Premium","13,700","13,700","6-16 mm","0%","120 mm 4x2","10.50 km","8.0 s","18.0 s","10.0°/s","2.00","1,700","13,600","102,000","2.93","2,100","8 mm","16,800","126,000","","","19","2.00 km","34.0 kt","620 m","3.4 s","6.50 km","3.30 km","2.30 km","","","","","","","","","","",""
"Lepanto","lepanto","Italy","Battleship","VIII","Tech Tree","75,900","118,404","19-406 mm","47%","381 mm 3x4","17.20 km","33.5 s","30.0 s","6.0°/s","1.60","5,400","64,800","116,060","1.72","11,000","26 mm","132,000","236,418","6.00 km","90 mm 12x2","423","4.00 km","29.5 kt","910 m","16.7 s","15.50 km","12.40 km","10.65 km","","","","","","","","","","",""
"Leviathan","leviathan","U.S.A.","Battleship","V","Premium","59,300","92,175","6-457 mm","37%","406 mm 4x2","16.50 km","30.0 s","45.0 s","4.0°/s","2.00","5,700","45,600","91,200","1.94","12,400","28 mm","99,200","198,400","5.00 km","127 mm 8x1","236","4.20 km","21.0 kt","640 m","16.0 s","14.80 km","11.80 km","14.30 km","","","","","","","","","","",""
"Lexington","lexington","U.S.A.","Aircraft Carrier","VII","Tech Tree","57,300","57,300","4-178 mm","16%","","","","","","","","","","","","","","","4.50 km","127 mm 8x2","511","5.00 km","33.0 kt","1180 m","15.6 s","14.50 km","10.10 km","2.00 km","","","","","","","","","","",""
"Lightning","lightning","U.K.","Destroyer","VII","Tech Tree","15,900","15,900","6-20 mm","0%","120 mm 3x2","10.80 km","4.5 s","9.0 s","20.0°/s","2.00","1,700","10,200","136,000","5.76","2,200","8 mm","13,200","176,000","","","79","4.50 km","36.0 kt","590 m","3.8 s","6.90 km","3.40 km","2.40 km","","","","","","","","","","",""
"Lion","lion","U.K.","Battleship","VII","Premium","67,900","114,072","19-381 mm","25%","406 mm 3x3","17.00 km","30.0 s","45.0 s","4.0°/s","1.80","6,900","62,100","124,200","1.99","12,600","28 mm","113,400","226,800","5.00 km","134 mm 8x2","528","4.50 km","29.5 kt","830 m","15.8 s","14.60 km","12.20 km","14.70 km","","","","","","","","","","",""
"London","london","U.K.","Cruiser","V","Premium","34,600","56,744","13-114 mm","4%","203 mm 4x2","14.50 km","15.0 s","22.5 s","8.0°/s","2.00","2,850","22,800","91,200","2.91","4,550","14 mm","36,400","145,600","4.00 km","102 mm 4x2","166","5.00 km","32.0 kt","710 m","7.8 s","10.60 km","6.70 km","6.20 km","","","","","","","","","","",""
"Longjiang","longjiang","Pan-Asia","Destroyer","I","Tech Tree","8,500","8,500","6-10 mm","0%","102mm Mk V 3x1","8.40 km","5.0 s","18.0 s","10.0°/s","2.00","1,500","4,500","54,000","2.16","1,700","7 mm","5,100","61,200","","","","","33.0 kt","470 m","2.6 s","5.60 km","2.80 km","1.90 km","2x2","6.00 km","10,000","53.0 kt","48 s","1.20 km","Slot 1: Damage Control Party | Slot 2: Smoke Generator","","","",""
"Louisiana","louisiana","U.S.A.","Battleship","★","Premium","96,300","136,746","6-541 mm","37%","406 mm 2x3","17.40 km","30.0 s","45.0 s","4.0°/s","2.00","5,700","57,000","114,000","1.98","13,100","28 mm","131,000","262,000","5.00 km","127 mm 10x2","701","5.20 km","31.0 kt","950 m","18.6 s","16.00 km","12.80 km","15.40 km","","","","","","","","","","",""
"Loyang","loyang","Pan","Destroyer","VII","Premium","16,100","16,100","1-21 mm","0%","127 mm 4x1","10.80 km","3.3 s","5.3 s","34.0°/s","2.00","1,900","7,600","138,182","3.37","2,200","8 mm","8,800","160,000","","","80","5.00 km","38.0 kt","570 m","2.7 s","6.60 km","3.50 km","2.60 km","","","","","","","","","","",""
"Luca Tarigo","luca-tarigo","Italy","Destroyer","VI","Tech Tree","15,100","15,100","6-16 mm","0%","120 mm 3x2","10.50 km","5.5 s","12.9 s","14.0°/s","2.00","1,700","10,200","111,273","3.85","2,600","","","","","","44","2.50 km","38.0 kt","610 m","3.6 s","7.60 km","3.60 km","2.60 km","","","","","","","","","","",""
"Lugdunum","lugdunum","Europe","Battleship","VI","Premium","53,400","75,828","12-360mm","16%","340 mm 4x4","15.90 km","25.0 s","51.4 s","3.5°/s","1.60","4,100","65,600","157,440","2.37","7,800","23 mm","124,800","299,520","6.50 km","130 mm 4x2","208","5.20 km","27.0 kt","700 m","12.7 s","14.60 km","8.80 km","12.20 km","","","","","","","","","","",""
"Lushun","lushun","Pan","Destroyer","VIII","Premium","18,500","29,600","6-20 mm","0%","130 mm 2x2","10.70 km","1.7 s","10.0 s","18.0°/s","2.00","1,300","5,200","183,529","6.55","2,000","9 mm","8,000","282,353","","","129","5.20 km","36.0 kt","700 m","4.6 s","6.80 km","3.40 km","2.60 km","","","","","","","","","","",""
"Lyon","lyon","France","Battleship","VI","Tech Tree","53,400","75,828","12-360 mm","16%","340 mm 4x4","16.10 km","30.0 s","51.4 s","3.5°/s","1.50","4,700","75,200","150,400","1.98","9,500","23 mm","152,000","304,000","5.00 km","120 mm 4x2","285","3.50 km","27.0 kt","700 m","14.1 s","14.70 km","11.70 km","12.20 km","","","","","","","","","","",""
"Maass","maass","Germany","Destroyer","VI","Tech Tree","17,500","17,500","8-16 mm","0%","128 mm 5x1","10.40 km","4.0 s","22.5 s","8.0°/s","2.00","1,500","7,500","112,500","3.99","3,000","8 mm","15,000","225,000","","","65","3.50 km","37.0 kt","640 m","4.2 s","6.80 km","3.40 km","2.50 km","","","","","","","","","","",""
"Maass W","maass-w","Germany","Destroyer","V","Premium","17,500","17,500","8-16 mm","0%","128 mm 5x1","10.40 km","4.0 s","22.5 s","8.0°/s","2.00","1,500","7,500","112,500","3.99","3,000","8 mm","15,000","225,000","","","65","3.50 km","37.0 kt","640 m","4.2 s","6.80 km","3.40 km","2.50 km","","","","","","","","","","",""
"Mackensen","mackensen","Germany","Battleship","V","Tech Tree","52,300","74,266","6-300 mm","19%","350 mm 4x2","15.40 km","27.0 s","30.0 s","6.0°/s","1.60","4,000","32,000","71,111","2.04","10,500","24 mm","84,000","186,667","5.50 km","","48","3.00 km","28.0 kt","780 m","14.0 s","14.00 km","11.20 km","11.90 km","","","","","","","","","","",""
"Madness","madness","Germany","Battleship","VII","Premium","65,000","92,300","19-380mm","22%","406 mm 3x2","16.70 km","24.0 s","30.0 s","6.0°/s","2.00","4,800","28,800","72,000","2.36","11,500","28 mm","69,000","172,500","7.00 km","105 mm 8x2","305","4.50 km","33.0 kt","820 m","15.3 s","14.80 km","11.80 km","14.30 km","","","","","","","","","","",""
"Maestrale","maestrale","Italy","Destroyer","I","Tech Tree","13,400","13,400","6-10 mm","0%","120 mm 2x2","9.90 km","5.8 s","12.9 s","14.0°/s","2.00","1,750","7,000","72,414","2.93","2,600","","","","","","17","2.00 km","38.0 kt","590 m","2.5 s","6.60 km","3.10 km","2.20 km","","","","","","","","","","",""
"Mahan","mahan","U.S.A.","Destroyer","V","Tech Tree","13,400","13,400","6-21 mm","0%","127 mm 5x1","10.40 km","3.6 s","12.0 s","15.0°/s","2.00","1,800","9,000","150,000","3.77","2,100","8 mm","10,500","175,000","","","30","5.00 km","35.0 kt","560 m","2.7 s","6.80 km","3.40 km","2.50 km","","","","","","","","","","",""
"Mahtaga","mahtaga","U.S.S.R.","Battleship","VIII","Premium","72,500","120,350","","18%","406 mm 3x4","16.70 km","35.0 s","30.0 s","6.0°/s","1.50","5,850","70,200","120,343","1.71","11,000","28 mm","132,000","226,286","7.00 km","130 mm 8x2","711","5.20 km","27.5 kt","770 m","16.0 s","15.20 km","12.20 km","14.70 km","","","","","","","","","","",""
"Maine","maine","U.S.A.","Battleship","VIII","Tech Tree","80,000","113,600","6-541 mm","37%","406 mm 2x2","17.70 km","30.0 s","45.0 s","4.0°/s","1.85","5,700","57,000","114,000","1.98","13,100","28 mm","131,000","262,000","5.00 km","127 mm 10x2","669","5.20 km","30.0 kt","950 m","22.2 s","16.00 km","12.80 km","15.50 km","","","","","","","","","","",""
"Mainz","mainz","Germany","Cruiser","VII","Premium","44,000","56,320","16-150 mm","22%","150 mm 4x3","15.80 km","6.0 s","23.7 s","7.6°/s","2.00","1,600","19,200","192,000","5.81","3,900","10 mm","46,800","468,000","5.50 km","105 mm 6x2","357","4.50 km","33.3 kt","720 m","10.5 s","13.70 km","8.20 km","7.00 km","","","","","","","","","","",""
"Mainz CE","mainz-ce","Germany","Cruiser","VII","Premium","42,500","54,400","16-150 mm","22%","150 mm 4x3","15.80 km","6.0 s","23.7 s","7.6°/s","2.00","1,700","20,400","204,000","6.32","3,900","10 mm","46,800","468,000","5.50 km","105 mm 6x2","357","4.50 km","32.0 kt","720 m","10.5 s","13.70 km","8.20 km","7.00 km","","","","","","","","","","",""
"Makarov","makarov","U.S.S.R.","Cruiser","V","Premium","27,000","27,000","13-100 mm","7%","150 mm 3x3","14.90 km","6.0 s","23.7 s","7.6°/s","2.00","1,700","15,300","153,000","5.28","3,900","10 mm","35,100","351,000","4.00 km","88 mm 4x2","136","4.00 km","32.0 kt","720 m","7.6 s","12.90 km","7.70 km","6.30 km","","","","","","","","","","",""
"Marblehead","marblehead","U.S.A.","Cruiser","I","Premium","27,000","27,000","6-76 mm","0%","152 mm 8x1","13.40 km","7.0 s","18.0 s","10.0°/s","2.00","2,200","26,400","226,286","6.72","3,100","10 mm","37,200","318,857","","","11","3.50 km","34.0 kt","600 m","5.7 s","11.10 km","6.70 km","5.10 km","","","","","","","","","","",""
"Marblehead FE","marblehead-fe","U.S.A.","Cruiser","IV","Premium","27,000","27,000","6-76 mm","0%","152 mm 8x1","13.40 km","7.0 s","18.0 s","10.0°/s","2.00","2,200","26,400","226,286","6.72","3,100","10 mm","37,200","318,857","","","11","3.50 km","34.0 kt","600 m","5.7 s","11.10 km","6.70 km","5.10 km","","","","","","","","","","",""
"Marceau","marceau","France","Destroyer","VIII","Premium","20,500","26,240","10-20mm","0%","127 mm 4x2","11.00 km","4.0 s","6.0 s","30.0°/s","2.00","1,850","14,800","222,000","5.05","2,350","8 mm","18,800","282,000","","","222","5.20 km","44.0 kt","740 m","4.8 s","7.10 km","3.50 km","2.60 km","","","","","","","","","","",""
"Marceau SE 25","marceau-se-25","France","Destroyer","VIII","Premium","20,500","26,240","10-20mm","0%","127 mm 4x2","11.00 km","4.0 s","6.0 s","30.0°/s","2.00","1,850","14,800","222,000","5.05","2,350","8 mm","18,800","282,000","","","222","5.20 km","44.0 kt","740 m","4.8 s","7.10 km","3.50 km","2.60 km","","","","","","","","","","",""
"Marco Polo","marco-polo","Italy","Battleship","VIII","Premium","69,100","107,796","19-410 mm","25%","406 mm 3x3","17.10 km","29.0 s","36.0 s","5.0°/s","1.80","5,700","51,300","106,138","2.03","13,050","28 mm","117,450","243,000","5.00 km","90 mm 12x2","377","4.00 km","32.0 kt","860 m","16.7 s","15.70 km","12.50 km","11.40 km","","","","","","","","","","",""
"Marlborough","marlborough","U.K.","Battleship","VIII","Premium","76,800","125,952","19-381 mm","28%","356 mm 4x4","16.60 km","25.0 s","40.0 s","4.5°/s","1.40","5,300","84,800","203,520","2.37","11,000","24 mm","176,000","422,400","5.00 km","134 mm 8x2","585","5.20 km","31.5 kt","860 m","14.9 s","15.50 km","12.40 km","13.50 km","","","","","","","","","","",""
"Massachusetts","massachusetts","U.S.A.","Battleship","VII","Premium","66,300","94,146","6-457 mm","46%","406 mm 3x3","17.00 km","30.0 s","45.0 s","4.0°/s","1.80","5,700","51,300","102,600","1.96","13,100","28 mm","117,900","235,800","7.00 km","127 mm 10x2","510","5.00 km","27.5 kt","710 m","15.7 s","15.50 km","12.40 km","14.90 km","","","","","","","","","","",""
"Massachusetts B","massachusetts-b","U.S.A.","Battleship","VII","Premium","66,300","94,146","6-457 mm","46%","406 mm 3x3","17.00 km","30.0 s","45.0 s","4.0°/s","1.80","5,700","51,300","102,600","1.96","13,100","28 mm","117,900","235,800","7.00 km","127 mm 10x2","510","5.00 km","27.5 kt","710 m","15.7 s","15.50 km","12.40 km","14.90 km","","","","","","","","","","",""
"Maya","maya","Japan","Cruiser","VI","Premium","39,200","50,176","6-127 mm","19%","203 mm 4x2","14.90 km","16.5 s","30.0 s","6.0°/s","2.00","3,000","24,000","87,273","2.82","4,700","14 mm","37,600","136,727","4.50 km","127 mm 6x2","153","5.00 km","35.5 kt","780 m","10.1 s","11.90 km","7.20 km","6.70 km","","","","","","","","","","",""
"Medea","medea","U.K.","Destroyer","II","Premium","8,700","8,700","6-6 mm","0%","102 mm 3x1","8.60 km","5.0 s","15.0 s","12.0°/s","2.00","1,500","4,500","54,000","2.03","1,500","7 mm","4,500","54,000","","","11","2.50 km","32.0 kt","460 m","2.3 s","5.20 km","2.70 km","2.00 km","","","","","","","","","","",""
"Méndez Núñez","mendez-nunez","Spain","Cruiser","II","Premium","20,800","20,800","6-75mm","","120 mm 8x1","11.40 km","18.0 s","15.0 s","12.0°/s","2.00","1,350","9,450","31,500","1.47","","","","","","","149","4.50 km","29.0 kt","530 m","6.0 s","8.70 km","5.20 km","3.20 km","","","","","","","","","","",""
"Meteor","meteor","U.S.S.R.","Destroyer","VIII","Premium","19,800","19,800","6-25 mm","0%","130mm B-2-U 3x2","11.50 km","5.0 s","9.0 s","20.0°/s","2.00","1,900","11,400","136,800","5.04","2,600","9 mm","15,600","187,200","","","","","42.5 kt","690 m","4.4 s","7.50 km","3.80 km","2.90 km","2x5","8.00 km","15,100","60.0 kt","131 s","1.10 km","Slot 1: Damage Control Party | Slot 2: Smoke Generator | Slot 3: Engine Boost | Slot 4: Repair Party","","","",""
"Michelangelo","michelangelo","Italy","Cruiser","VIII","Premium","66,100","88,309","16-255mm","22%","320 mm 2x4","15.40 km","21.5 s","22.5 s","8.0°/s","2.00","4,700","37,600","104,930","2.70","9,700","22 mm","77,600","216,558","6.50 km","90 mm 10x2","324","4.00 km","33.5 kt","830 m","10.8 s","12.30 km","7.40 km","7.40 km","","","","","","","","","","",""
"Midway","midway","U.S.A.","Aircraft Carrier","★","Premium","67,600","67,600","13-193 mm","25%","","","","","","","","","","","","","","","5.50 km","127 mm 18x1","654","5.20 km","33.0 kt","1230 m","18.2 s","15.20 km","10.50 km","2.00 km","","","","","","","","","","",""
"Mikasa","mikasa","Japan","Cruiser","II","Premium","31,200","35,568","10-356 mm","10%","305 mm 2x2","10.90 km","22.0 s","40.0 s","4.5°/s","2.00","5,100","20,400","55,636","2.03","7,700","21 mm","30,800","84,000","3.00 km","76.2 mm 18x1","","","18.0 kt","450 m","10.2 s","8.60 km","5.40 km","7.40 km","","","","","","","","","","",""
"Mikasa &#x27;23","mikasa-23","Japan","Cruiser","II","Premium","31,200","35,568","10-356 mm","10%","305 mm 2x2","10.90 km","22.0 s","40.0 s","4.5°/s","2.00","5,100","20,400","55,636","2.03","7,700","21 mm","30,800","84,000","3.00 km","76.2 mm 18x1","","","18.0 kt","450 m","10.2 s","8.60 km","5.40 km","7.40 km","","","","","","","","","","",""
"Mikoyan","mikoyan","U.S.S.R.","Cruiser","IV","Premium","27,000","27,000","6-100 mm","4%","180mm B-1-P 3x3","14.80 km","13.5 s","25.7 s","7.0°/s","2.05","2,500","22,500","100,000","4.89","3,750","12 mm","33,750","150,000","","","","","35.5 kt","690 m","7.2 s","10.80 km","6.20 km","6.10 km","2x3","4.00 km","14,400","65.0 kt","62 s","1.20 km","Slot 1: Damage Control Party | Slot 2: Defensive AA Fire","","","",""
"Milwaukee","milwaukee","U.S.A.","Cruiser","II","Premium","29,500","29,500","6-102 mm","0%","152mm Mk6 14x1","10.10 km","7.0 s","22.5 s","8.0°/s","1.80","2,100","29,400","252,000","8.40","3,000","10 mm","42,000","360,000","3.50 km","76.2mm Mk4 A 18x1","","","22.0 kt","450 m","6.4 s","8.70 km","5.40 km","4.00 km","","","","","","","Slot 1: Damage Control Party","","","",""
"Minegumo","minegumo","Japan","Destroyer","VIII","Premium","17,400","17,400","13-20mm","0%","127 mm 3x2","10.70 km","4.0 s","10.0 s","18.0°/s","2.00","2,000","12,000","180,000","6.48","2,400","8 mm","14,400","216,000","","","10","3.10 km","35.0 kt","640 m","3.6 s","6.70 km","3.40 km","2.50 km","","","","","","","","","","",""
"Minekaze","minekaze","Japan","Destroyer","I","Tech Tree","10,900","10,900","6-18 mm","0%","120 mm 4x1","9.60 km","10.9 s","20.0 s","9.0°/s","2.00","1,700","6,800","37,431","1.39","2,000","8 mm","8,000","44,037","","","14","3.10 km","39.0 kt","550 m","2.1 s","5.80 km","2.90 km","2.10 km","","","","","","","","","","",""
"Minnesota","minnesota","U.S.A.","Battleship","VIII","Tech Tree","76,300","108,346","19-457 mm","40%","406 mm 4x3","17.70 km","34.0 s","45.0 s","4.0°/s","1.80","5,700","68,400","120,706","1.76","12,800","28 mm","153,600","271,059","5.00 km","127 mm 8x2","435","5.00 km","25.0 kt","700 m","16.7 s","15.90 km","12.70 km","15.30 km","","","","","","","","","","",""
"Minotaur","minotaur","U.K.","Cruiser","★","Premium","43,300","77,940","6-127 mm","21%","152 mm 5x2","15.30 km","3.2 s","4.7 s","38.3°/s","2.00","","","","","3,200","10 mm","32,000","600,000","","","494","6.00 km","33.5 kt","660 m","10.4 s","12.10 km","7.30 km","5.80 km","","","","","","","","","","",""
"Minsk","minsk","U.S.S.R.","Destroyer","VI","Tech Tree","15,100","15,100","10-16 mm","0%","130 mm 5x1","10.80 km","4.0 s","30.0 s","6.0°/s","2.00","1,900","9,500","142,500","5.11","2,500","9 mm","12,500","187,500","","","53","3.20 km","43.0 kt","690 m","3.3 s","7.50 km","3.70 km","2.80 km","","","","","","","","","","",""
"Mirage","mirage","Italy","Cruiser","VII","Premium","42,800","54,784","16-150mm","19%","203 mm 3x3","14.60 km","14.5 s","25.7 s","7.0°/s","2.00","3,200","28,800","119,172","3.36","5,100","14 mm","45,900","189,931","5.00 km","90 mm 12x1","366","4.00 km","37.0 kt","680 m","11.0 s","11.20 km","6.80 km","6.30 km","","","","","","","","","","",""
