"Commander","Nation","Class","Base Trait Name","Base Trait Effects","Row1_Col1_Name","Row1_Col1_Effects","Row1_Col2_Name","Row1_Col2_Effects","Row1_Col3_Name","Row1_Col3_Effects","Row2_Col1_Name","Row2_Col1_Effects","Row2_Col2_Name","Row2_Col2_Effects","Row2_Col3_Name","Row2_Col3_Effects","Row3_Col1_Name","Row3_Col1_Effects","Row3_Col2_Name","Row3_Col2_Effects","Row3_Col3_Name","Row3_Col3_Effects","Row4_Col1_Name","Row4_Col1_Effects","Row4_Col2_Name","Row4_Col2_Effects","Row4_Col3_Name","Row4_Col3_Effects","Row5_Col1_Name","Row5_Col1_Effects","Row5_Col2_Name","Row5_Col2_Effects","Row5_Col3_Name","Row5_Col3_Effects"
"Pedro Lima Santos","pan-america","Hybrid","Multitool","+3.5% Ship's secondary battery shell damage | +4.0% Torpedo damage | +4.0% Main guns and planes' damage","Contact Is Imminent","+500.0% Torpedo speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Back in Stock","-8.0% Torpedo launchers reload time","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Velocious","+5.0% Maximum movement speed","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Reaching Out XXL","+8.0% Range of main guns","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Philippe Auboyneau","france","Destroyer","Powder Keg","+3.5% Destroyer's main gun HE shell damage","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","Go All Out","-10.0% Detectability while Engine Boost is active | +35.0% Engine Boost reload time [PENALTY]","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"Phillip Vian","uk","Destroyer","Casual Avoidance","+4.0% Incoming fire dispersion","Contact Is Imminent","+500.0% Torpedo speed","Quick Fix","-8.0% Incoming splash damage","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Flank Speed","+7.0% Maximum destroyer speed (destroyer) | +5.0% Rudder shift time [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Glass Cannon","+12.0% Shell grouping of destroyer's main guns (destroyer) | -5.0% Dispersion of main battery | -5.0% Maximum HP [PENALTY] | +6.0% Destroyer main battery range (destroyer)","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Sidestep","+12.0% Range of destroyer's main guns (destroyer) | +5.0% Incoming fire dispersion | +10.0% Rudder shift time [PENALTY]","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)","",""
"Unknown","unknown","unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Raizo Tanaka","japan","Destroyer","Hull Crusher","+5.0% Torpedo damage","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","On Alert","-4.5% Rudder shift time | -15.0% Damage Control Party cooldown time","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"Reginald Tyrwhitt","uk","Destroyer","True Grit","-3.0% Torpedo launchers reload time | -30.0% Steering gear impairment chance","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","Smogathon","-40.0% Smoke Generator reload time | +200.0% Smoke Generator charges | -50.0% Smoke screen deployment time [PENALTY] | +1000.0% Torpedo speed @L3.5"
"Reinhard Scheer","germany","Hybrid","Fire Alarm","-5.0% Damage Control Party reload time | -7.0% Risk of catching fire","Contact Is Imminent","+500.0% Torpedo speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Back in Stock","-8.0% Torpedo launchers reload time","Velocious","+5.0% Maximum movement speed","","","Reaching Out XXL","+8.0% Range of main guns","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Robert Jaujard","france","Battleship","Borer","+6.0% Battleship's AP shells penetration multiplier","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Megalomania","-10.0% Reload time of battleship's main guns (battleship) | -25.0% Battleship's detectability time after firing main guns (battleship) | -5.0% Maximum HP [PENALTY]","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Robin Le Fierce","france","Destroyer","Corsaire de la Couronne","+2.0% Chances of destroyer HE shells causing fire","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Reaching Out","-3.0% Destroyer main battery reload time (destroyer) | +8.0% Destroyer main battery range (destroyer)","Look at Me Now","-6.0% Sea detectability range","Glass Cannon","+12.0% Shell grouping of destroyer's main guns (destroyer) | -5.0% Dispersion of main battery | -5.0% Maximum HP [PENALTY] | +6.0% Destroyer main battery range (destroyer)","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Perceptive","-3.0% Incoming damage to your destroyer (destroyer)","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","Go All Out","-10.0% Detectability while Engine Boost is active | +35.0% Engine Boost reload time [PENALTY]","Au Nom du Roi","+600.0% Each 9th/8th/7th/6th fire your destroyers starts on enemy ships is duplicated (destroyer)","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)"
"Rumble","ussr","Destroyer","Robotic Breadth","+6.0% Range of destoryer's main guns","Contact Is Imminent","+500.0% Torpedo speed","Quick Fix","-8.0% Incoming splash damage","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Flank Speed","+7.0% Maximum destroyer speed (destroyer) | +5.0% Rudder shift time [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Glass Cannon","+12.0% Shell grouping of destroyer's main guns (destroyer) | -5.0% Dispersion of main battery | -5.0% Maximum HP [PENALTY] | +6.0% Destroyer main battery range (destroyer)","Piercer","+4.0% Penetration multiplier","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Sidestep","+12.0% Range of destroyer's main guns (destroyer) | +5.0% Incoming fire dispersion | +10.0% Rudder shift time [PENALTY]","Calculated Inversion","-70.0% Rudder shift time while smoke screen is working | +70.0% Engine power while smoke screen is working | -30.0% Smoke screen dispersion time [PENALTY]","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)","",""
"Sa Zhenbing","pan-asia","Destroyer","Tin Opener","+800.0% Minimum ricochet angle of your destroyer's AP shells","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","Reaching Out XXL","+8.0% Range of main guns","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","Knuckle Duster","-10000.0% Detectability of your torpeodes | +40.0% Chance of your torpedoes incapacitating enemy ship's modules | -10.0% Torpedo damage [PENALTY]","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","",""
"Sergio Splendento","ussr","Destroyer","Firm Hand","+2.00 º/s Traverse speed of destroyer's guns","Contact Is Imminent","+500.0% Torpedo speed","Quick Fix","-8.0% Incoming splash damage","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Flank Speed","+7.0% Maximum destroyer speed (destroyer) | +5.0% Rudder shift time [PENALTY]","Go All Out","-10.0% Detectability while Engine Boost is active | +35.0% Engine Boost reload time [PENALTY]","Back in Stock","-8.0% Torpedo launchers reload time","Glass Cannon","+12.0% Shell grouping of destroyer's main guns (destroyer) | -5.0% Dispersion of main battery | -5.0% Maximum HP [PENALTY] | +6.0% Destroyer main battery range (destroyer)","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Sidestep","+12.0% Range of destroyer's main guns (destroyer) | +5.0% Incoming fire dispersion | +10.0% Rudder shift time [PENALTY]","Iron-Shod","-80.0% Risk of engine becoming incapacitated | -80.0% Steering gear impairment chance","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)","",""
"Shelly Beapley","usa","Cruiser","Refractory","-8.0% Risk of catching fire","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Armed and Ready","+4.5% Incoming fire dispersion","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Private Zone","-8.0% Detectability of cruisers (cruiser)","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","",""
"Soundwave","italy","Cruiser","Redistribution","+4.0% Torpedo detectability range | -3.0% Rudder shift time","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Piercer","+4.0% Penetration multiplier","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Smoke Cannon","-20.0% Air detectability range | +10.0% Smoke screen deployment time","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","","","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","",""
"Space Fishy","japan","Destroyer","Space Speed","+4 kt Torpedo Speed","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","Perceptive","-3.0% Incoming damage to your destroyer (destroyer)","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","Breakneck Speed","-60.0% Engine Boost reload time | +200.0% Engine Boost charges | -50.0% Engine Boost duration [PENALTY]","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"Starscream","germany","Aircraft Carrier","Advance \u0026 Vanquish","+2.0% Aircraft cruise speed","A Good Day's Work","-8.0% Damage Control Party reload time","Swatting at Flies","+20.0% Your aircraft carrier's average AA damage per second (aircraft carrier) | +5.0% Increase destroyer SAP shell damage (destroyer)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","One-Way Ticket","+4.0% Torpedo Damage","Dark Silhouette","-12.0% Detectability of Aircraft Carriers (aircraft carrier)","Inspired Return","+20.0% Aircraft return speed | +4.0% Dive bombers HP | +40.0% Torpedo bombers HP","On Alert","-4.5% Rudder shift time | -15.0% Damage Control Party cooldown time","Out of Sight","-8.0% Detectability of dive bombers | +16.0% Dive bombers HP","Hidden Threat","-8.0% Detectability of torpedo bombers | +16.0% Torpedo bombers HP","Emergency Power","+4.0% Aircraft cruise speed","Look at Me Now","-6.0% Sea detectability range","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Corkscrew","-20.0% Incoming damage to your aircraft carrier (aircraft carrier) @L3.5 | +8.0% Penetration multiplier","",""
"Stepan Makarov","ussr","Cruiser","Nights Shorter Than Days","+20.0% Damage Control Party duration","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Piercer","+4.0% Penetration multiplier","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Intuitive","+5.0% Sonar duration | +5.0% Surveillance Radar duration","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","","","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"Stig Ericson","europe","Destroyer","Thunderbolt","-3.0% Engine Boost reload time | +3.0% Torpedo damage","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Less Is More","+5.0% Torpedo damage | -10.0% Torpedo launchers reload time | -20.0% Torpedo range [PENALTY]","Perceptive","-3.0% Incoming damage to your destroyer (destroyer)","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","Sheltered Arms","-100.0% Risk of main battery becoming incapacitated | -100.0% Risk of torpedo launchers becoming incapacitated","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"Sunaookami Shiroko","uk","Destroyer","Pinpoint","+1.20 º/s Destroyer gun traverse speed | -4.0% Destroyer main battery reload time","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Back in Stock","-8.0% Torpedo launchers reload time","Reaching Out","-3.0% Destroyer main battery reload time (destroyer) | +8.0% Destroyer main battery range (destroyer)","","","Look at Me Now","-6.0% Sea detectability range","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","Perceptive","-3.0% Incoming damage to your destroyer (destroyer)","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","Aerial Fire Support","-8.0% Destroyer main battery reload time while detected by ship (destroyer) | +200.0% Number of AA explosions","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)"
"Takanashi Hoshino","usa","Battleship","Tactical Suppression","-3.5% Battleship Main Battery Reload time | +10.0% Main battery survivability | -3.0% Rudder-shift time","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Dance with Death","-0.1% Armament reload time per 1% of HP lost | +4.0% Main battery traverse speed per 1% HP lost","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Megalomania","-10.0% Reload time of battleship's main guns (battleship) | -25.0% Battleship's detectability time after firing main guns (battleship) | -5.0% Maximum HP [PENALTY]","","","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Velocious","+5.0% Maximum movement speed","Foreclosure Task Force President","-0.2% Incoming damage from shells, torpedoes, and bombs to your battleship per 1% lost (battleship) | -0.2% Consumable cooldown per 1% HP losts","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Takeo Kurita","japan","Destroyer","The Quickening","-6.0% Engine Boost reload time","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","Evil Sparks","+75.0% Armor penetration of HE shells of your destroyer (destroyer) | -20.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY]"
